Date,Ticker,Close
05/15/2022,PUWLEMUINDXD,94.39
05/16/2022,PUWLEMUINDXD,57.32
05/17/2022,PUWLEMUINDXD,22.37
05/18/2022,PUWLEMUINDXD,125.3
05/19/2022,PUWLEMUINDXD,131.05
05/20/2022,PUWLEMUINDXD,149.55
05/21/2022,PUWLEMUINDXD,200.66
05/22/2022,PUWLEMUINDXD,167.08
05/23/2022,PUWLEMUINDXD,179.29
05/24/2022,PUWLEMUINDXD,92.7
05/25/2022,PUWLEMUINDXD,172.07
05/26/2022,PUWLEMUINDXD,166.85
05/27/2022,PUWLEMUINDXD,231.82
05/28/2022,PUWLEMUINDXD,32.78
05/29/2022,PUWLEMUINDXD,165.64
05/30/2022,PUWLEMUINDXD,48.78
05/31/2022,PUWLEMUINDXD,25.72
06/01/2022,PUWLEMUINDXD,69.88
06/02/2022,PUWLEMUINDXD,116.11
06/03/2022,PUWLEMUINDXD,81.92
06/04/2022,PUWLEMUINDXD,16.62
06/05/2022,PUWLEMUINDXD,60.22
06/06/2022,PUWLEMUINDXD,45.61
06/07/2022,PUWLEMUINDXD,69.52
06/08/2022,PUWLEMUINDXD,61.53
06/09/2022,PUWLEMUINDXD,113.22
06/10/2022,PUWLEMUINDXD,92.05
06/11/2022,PUWLEMUINDXD,35.14
06/12/2022,PUWLEMUINDXD,95.94
06/13/2022,PUWLEMUINDXD,93.86
06/14/2022,PUWLEMUINDXD,35.2
06/15/2022,PUWLEMUINDXD,53.8
06/16/2022,PUWLEMUINDXD,152.05
06/17/2022,PUWLEMUINDXD,70.87
06/18/2022,PUWLEMUINDXD,85.74
06/19/2022,PUWLEMUINDXD,152.69
06/20/2022,PUWLEMUINDXD,33.32
06/21/2022,PUWLEMUINDXD,98.16
06/22/2022,PUWLEMUINDXD,118.73
06/23/2022,PUWLEMUINDXD,55
06/24/2022,PUWLEMUINDXD,84.02
06/25/2022,PUWLEMUINDXD,68.51
06/26/2022,PUWLEMUINDXD,276.25
06/27/2022,PUWLEMUINDXD,80.28
06/28/2022,PUWLEMUINDXD,72.94
06/29/2022,PUWLEMUINDXD,52.98
06/30/2022,PUWLEMUINDXD,172.69
07/01/2022,PUWLEMUINDXD,188.65
07/02/2022,PUWLEMUINDXD,34.45
07/03/2022,PUWLEMUINDXD,51.31
07/04/2022,PUWLEMUINDXD,109.05
07/05/2022,PUWLEMUINDXD,56.09
07/06/2022,PUWLEMUINDXD,77.5
07/07/2022,PUWLEMUINDXD,95.37
07/08/2022,PUWLEMUINDXD,74.24
07/09/2022,PUWLEMUINDXD,55.05
07/10/2022,PUWLEMUINDXD,114.31
07/11/2022,PUWLEMUINDXD,33.04
07/12/2022,PUWLEMUINDXD,61.95
07/13/2022,PUWLEMUINDXD,46.66
07/14/2022,PUWLEMUINDXD,141.31
07/15/2022,PUWLEMUINDXD,107.08
07/16/2022,PUWLEMUINDXD,55.19
07/17/2022,PUWLEMUINDXD,133.23
07/18/2022,PUWLEMUINDXD,48.3
07/19/2022,PUWLEMUINDXD,108.18
07/20/2022,PUWLEMUINDXD,149.94
07/21/2022,PUWLEMUINDXD,119.9
07/22/2022,PUWLEMUINDXD,115.32
07/23/2022,PUWLEMUINDXD,106.76
07/24/2022,PUWLEMUINDXD,150.93
07/25/2022,PUWLEMUINDXD,79.82
07/26/2022,PUWLEMUINDXD,50.23
07/27/2022,PUWLEMUINDXD,194.15
07/28/2022,PUWLEMUINDXD,180.36
07/29/2022,PUWLEMUINDXD,86.11
07/30/2022,PUWLEMUINDXD,54.47
07/31/2022,PUWLEMUINDXD,115.53
08/01/2022,PUWLEMUINDXD,265.4
08/02/2022,PUWLEMUINDXD,60.94
08/03/2022,PUWLEMUINDXD,125.84
08/04/2022,PUWLEMUINDXD,104.16
08/05/2022,PUWLEMUINDXD,126.28
08/06/2022,PUWLEMUINDXD,90.02
08/07/2022,PUWLEMUINDXD,165.08
08/08/2022,PUWLEMUINDXD,259.28
08/09/2022,PUWLEMUINDXD,87.15
08/10/2022,PUWLEMUINDXD,120.54
08/11/2022,PUWLEMUINDXD,141.42
08/12/2022,PUWLEMUINDXD,106.87
08/13/2022,PUWLEMUINDXD,74.14
08/14/2022,PUWLEMUINDXD,50.45
08/15/2022,PUWLEMUINDXD,111.66
08/16/2022,PUWLEMUINDXD,59.72
08/17/2022,PUWLEMUINDXD,99.81
08/18/2022,PUWLEMUINDXD,9.12
08/19/2022,PUWLEMUINDXD,114.81
08/20/2022,PUWLEMUINDXD,114.9
08/21/2022,PUWLEMUINDXD,128.43
08/22/2022,PUWLEMUINDXD,446.93
08/23/2022,PUWLEMUINDXD,58.62
08/24/2022,PUWLEMUINDXD,70.68
08/25/2022,PUWLEMUINDXD,79.66
08/26/2022,PUWLEMUINDXD,58.58
