,date,pcr
325,2008-02-21 00:00:00,0.69
326,2008-02-22 00:00:00,0.84
327,2008-02-25 00:00:00,0.65
328,2008-02-26 00:00:00,0.8
329,2008-02-27 00:00:00,0.74
330,2008-02-28 00:00:00,0.96
331,2008-02-29 00:00:00,0.84
332,2008-03-03 00:00:00,0.79
333,2008-03-04 00:00:00,0.96
334,2008-03-05 00:00:00,0.68
335,2008-03-06 00:00:00,1.12
336,2008-03-07 00:00:00,0.92
337,2008-03-10 00:00:00,1.0
338,2008-03-11 00:00:00,0.89
339,2008-03-12 00:00:00,0.84
340,2008-03-13 00:00:00,0.82
341,2008-03-14 00:00:00,1.16
342,2008-03-17 00:00:00,1.34
343,2008-03-18 00:00:00,0.78
344,2008-03-19 00:00:00,0.9
345,2008-03-20 00:00:00,0.81
346,2008-03-24 00:00:00,0.63
347,2008-03-25 00:00:00,0.77
348,2008-03-26 00:00:00,0.77
349,2008-03-27 00:00:00,0.85
350,2008-03-28 00:00:00,0.86
351,2008-03-31 00:00:00,0.85
352,2008-04-01 00:00:00,0.81
353,2008-04-02 00:00:00,0.78
354,2008-04-03 00:00:00,0.82
355,2008-04-04 00:00:00,0.82
356,2008-04-07 00:00:00,0.74
357,2008-04-08 00:00:00,0.9
358,2008-04-09 00:00:00,0.9
359,2008-04-10 00:00:00,0.79
360,2008-04-11 00:00:00,0.9
361,2008-04-14 00:00:00,0.85
362,2008-04-15 00:00:00,0.94
363,2008-04-16 00:00:00,0.72
364,2008-04-17 00:00:00,0.75
365,2008-04-18 00:00:00,0.59
366,2008-04-21 00:00:00,0.6
367,2008-04-22 00:00:00,0.66
368,2008-04-23 00:00:00,0.7
369,2008-04-24 00:00:00,0.67
370,2008-04-25 00:00:00,0.73
371,2008-04-28 00:00:00,0.66
372,2008-04-29 00:00:00,0.83
373,2008-04-30 00:00:00,0.66
374,2008-05-01 00:00:00,0.58
375,2008-05-02 00:00:00,0.62
376,2008-05-05 00:00:00,0.66
377,2008-05-06 00:00:00,0.57
378,2008-05-07 00:00:00,0.66
379,2008-05-08 00:00:00,0.6
380,2008-05-09 00:00:00,0.7
381,2008-05-12 00:00:00,0.66
382,2008-05-13 00:00:00,0.6
383,2008-05-14 00:00:00,0.62
384,2008-05-15 00:00:00,0.59
385,2008-05-16 00:00:00,0.59
386,2008-05-19 00:00:00,0.56
387,2008-05-20 00:00:00,0.7
388,2008-05-21 00:00:00,0.79
389,2008-05-22 00:00:00,0.63
390,2008-05-23 00:00:00,0.72
391,2008-05-27 00:00:00,0.66
392,2008-05-28 00:00:00,0.62
393,2008-05-29 00:00:00,0.67
394,2008-05-30 00:00:00,0.59
395,2008-06-02 00:00:00,0.76
396,2008-06-03 00:00:00,0.8
397,2008-06-04 00:00:00,0.76
398,2008-06-05 00:00:00,0.64
399,2008-06-06 00:00:00,0.76
400,2008-06-09 00:00:00,0.78
401,2008-06-10 00:00:00,0.81
402,2008-06-11 00:00:00,0.85
403,2008-06-12 00:00:00,0.77
404,2008-06-13 00:00:00,0.76
405,2008-06-16 00:00:00,0.81
